changes = Time vs nsites vs nqubits0 vs h vs nlayers

g_converged min_loss iter nsites nqubits0 h nlayers time
true 8.588788331696333e-5 246 9 3 0.1 1 1.89
true 1.0348961364721927e-6 647 9 3 0.1 2 9.03
true 5.003228299034953e-5 1814 9 3 0.1 3 34.22
true 1.2604187107005208e-5 7069 9 3 0.1 4 155.29
true 1.0552616366473384e-6 242 9 3 0.12 1 1.83
true 1.1121635429193569e-5 869 9 3 0.12 2 11.46
true 4.6404602857097466e-5 1088 9 3 0.12 3 23.46
true 6.94499535991433e-6 1717 9 3 0.12 4 47.13
true 0.3333350677426638 168 9 3 0.14 1 1.43
true 1.271905839742941e-6 1530 9 3 0.14 2 18.27
true 2.163720357127123e-5 2323 9 3 0.14 3 41.29
true 8.468116687443406e-5 9526 9 3 0.14 4 220.74
true 3.471477772206318e-6 201 9 3 0.16 1 1.72
true 1.1245469430765098e-5 786 9 3 0.16 2 10.77
true 4.183955569207291e-6 1362 9 3 0.16 3 26.27
true 4.5509041573410514e-5 2735 9 3 0.16 4 68.01
true 5.572385879744808e-6 317 9 3 0.18 1 2.53
true 6.997893253609296e-6 1248 9 3 0.18 2 16.45
true 3.317993504527624e-5 2480 9 3 0.18 3 44.6
true 3.536754734945191e-5 1387 9 3 0.18 4 41.63
true 8.884843336979623e-6 209 9 3 0.2 1 1.87
true 9.575636715775104e-6 1614 9 3 0.2 2 20.7
true 0.0001045791924369488 5515 9 3 0.2 3 102.11
true 9.553171135684435e-5 6256 9 3 0.2 4 163.41
true 1.3905768721622636e-5 253 9 3 0.22 1 2.69
true 1.0603143740868978e-5 1017 9 3 0.22 2 13.99
true 1.4314252326933877e-5 2326 9 3 0.22 3 43.16
true 8.118793648159706e-5 1648 9 3 0.22 4 45.69
true 2.1042202777303103e-5 198 9 3 0.24 1 1.86
true 6.047731681650219e-6 2049 9 3 0.24 2 26.57
true 1.7302782440313063e-5 700 9 3 0.24 3 17.12
true 0.00010472735884882918 1819 9 3 0.24 4 57.99
true 3.0369032163709193e-5 205 9 3 0.26 1 1.88
true 9.471578517161738e-6 676 9 3 0.26 2 10.22
true 0.00015831466575128017 1204 9 3 0.26 3 25.56
true 6.397957418445104e-5 2456 9 3 0.26 4 64.34
true 4.3613206781830303e-5 185 9 3 0.28 1 1.79
true 6.689492552758303e-5 963 9 3 0.28 2 14.3
true 0.00019704459619189021 1788 9 3 0.28 3 35.64
true 8.202721647025217e-5 4803 9 3 0.28 4 125.05
true 6.128816194152693e-5 172 9 3 0.3 1 1.77
true 8.927876709537615e-5 1101 9 3 0.3 2 15.52
true 9.690348928707386e-5 1896 9 3 0.3 3 38.18
true 2.8553480574400325e-5 2002 9 3 0.3 4 58.04
true 8.487551818499768e-5 237 9 3 0.32 1 2.18
true 0.00018186542845795758 605 9 3 0.32 2 9.88
true 0.00011693493931994962 1271 9 3 0.32 3 29.64
true 0.0001827673935515343 1971 9 3 0.32 4 61.03
true 0.00011569030840730132 239 9 3 0.34 1 2.28
true 0.00015207027839717982 539 9 3 0.34 2 9.04
true 0.00011249134844126818 2617 9 3 0.34 3 53.31
true 0.0005453797075090638 5922 9 3 0.34 4 158.59
true 0.00015759529160530583 232 9 3 0.36 1 2.11
true 0.00021276074462404462 436 9 3 0.36 2 7.71
true 0.00038152127570700856 2445 9 3 0.36 3 50.28
true 0.0006223997701518084 2286 9 3 0.36 4 69.9
true 0.00022549790009929183 375 9 3 0.38 1 3.4
true 0.00029230716276856805 718 9 3 0.38 2 11.89
true 0.0006797675840657195 1219 9 3 0.38 3 28.51
true 0.0005446501733700204 3276 9 3 0.38 4 91.92
true 0.00036606689455239333 230 9 3 0.4 1 2.23
true 0.0004984329412042188 568 9 3 0.4 2 9.91
true 0.00031199062055107624 1323 9 3 0.4 3 30.46
true 0.0005902957233512307 1876 9 3 0.4 4 59.11
true 0.0008021461655730588 249 9 3 0.42 1 2.23
true 0.0005833980086676164 540 9 3 0.42 2 8.97
true 0.0017269301282428207 1976 9 3 0.42 3 44.86
true 0.0016620867476920265 2556 9 3 0.42 4 80.69
true 0.33637262852641303 230 9 3 0.44 1 2.33
