g_converged	min_loss	iter	nsites	nqubits0	h	nlayers	time
TRUE	3,01E-10	1705	8	7	0,16	3	23,7
TRUE	0,142885999	1401	8	7	0,18	3	20,79
TRUE	4,21E-10	3138	8	7	0,2	3	47,04
TRUE	0,142914223	1851	8	7	0,22	3	28,02
TRUE	0,14292292	1712	8	7	0,24	3	27
TRUE	0,000107267	3204	8	7	0,26	3	49,53
TRUE	0,00017078	2775	8	7	0,28	3	44,09
TRUE	0,000229245	2286	8	7	0,3	3	34,61
TRUE	0,000158105	4750	8	7	0,32	3	75,68
TRUE	0,000469469	2964	8	7	0,34	3	45,66
TRUE	0,001280921	3187	8	7	0,36	3	47,42
TRUE	0,145627413	4752	8	7	0,38	3	68,48
TRUE	0,027668956	2994	8	7	0,4	3	44,98
TRUE	0,011098055	6808	8	7	0,42	3	103,13
TRUE	0,041889764	3095	8	7	0,44	3	48,38
TRUE	0,000215275	3257	8	7	0,46	3	48,31
TRUE	0,000296936	6174	8	7	0,48	3	73,24
TRUE	0,226383775	4622	8	7	0,5	3	59,43
TRUE	0,000363313	1865	8	7	0,52	3	23,18
TRUE	0,03567538	2180	8	7	0,54	3	28,27
TRUE	0,034633997	7304	8	7	0,56	3	86,08
TRUE	0,000748787	2865	8	7	0,58	3	35,7
TRUE	0,114857721	2895	8	7	0,6	3	36,92
TRUE	1,55E-10	3775	8	7	0	4	65,64
TRUE	4,71E-10	2222	8	7	0,02	4	42,37
TRUE	6,33E-09	3822	8	7	0,04	4	65,55
TRUE	4,59E-11	2579	8	7	0,06	4	47,91
TRUE	6,41E-09	1774	8	7	0,08	4	34,39
TRUE	2,89E-10	7895	8	7	0,1	4	129,07
TRUE	2,37E-10	2354	8	7	0,12	4	43,79
TRUE	2,43E-11	4566	8	7	0,14	4	76,38
TRUE	0,142873141	3363	8	7	0,16	4	61,6
TRUE	5,74E-10	3273	8	7	0,18	4	59,24
TRUE	3,53E-11	4933	8	7	0,2	4	89,75
TRUE	7,11E-10	2529	8	7	0,22	4	50,77
TRUE	0,07148041	3407	8	7	0,24	4	69,77
TRUE	1,16E-11	2474	8	7	0,26	4	52,27
TRUE	0,000244687	5074	8	7	0,28	4	104,53
TRUE	0,00024373	3530	8	7	0,3	4	68,31
TRUE	0,000354019	3235	8	7	0,32	4	66,38
TRUE	0,000232894	13777	8	7	0,34	4	256,7
TRUE	0,001757244	2375	8	7	0,36	4	48,98
TRUE	0,002930519	23559	8	7	0,38	4	452,16
TRUE	0,004036404	4692	8	7	0,4	4	89,79
TRUE	0,002616829	22546	8	7	0,42	4	426,64
TRUE	0,000595037	10850	8	7	0,44	4	204,73
TRUE	0,000950079	13163	8	7	0,46	4	243,71
TRUE	0,061729609	10161	8	7	0,48	4	155,52
TRUE	0,010541011	27275	8	7	0,5	4	426,67
TRUE	0,01127709	1863	8	7	0,52	4	33,62
TRUE	0,007924221	10471	8	7	0,54	4	162,92
TRUE	0,010499515	8409	8	7	0,56	4	127,81
TRUE	0,075514119	11763	8	7	0,58	4	182,92
TRUE	0,017105966	8632	8	7	0,6	4	134,34
TRUE	0,125001843	312	8	8	0	1	1,31
TRUE	0,25000022	426	8	8	0,02	1	1,76
TRUE	0,125000192	414	8	8	0,04	1	1,68
TRUE	1,44E-10	400	8	8	0,06	1	1,64
TRUE	1,66E-09	440	8	8	0,08	1	1,84
TRUE	0,125002198	335	8	8	0,1	1	1,49
TRUE	0,12500389	278	8	8	0,12	1	1,27
TRUE	8,00E-09	257	8	8	0,14	1	1,24
TRUE	0,125012017	344	8	8	0,16	1	1,66
TRUE	0,125019574	568	8	8	0,18	1	2,6
TRUE	3,20E-10	237	8	8	0,2	1	1,15
TRUE	0,125042989	427	8	8	0,22	1	2,03
TRUE	6,79E-10	415	8	8	0,24	1	1,97
